"Kind","Name","PercentLackOfCohesion","MaxInheritanceTree","CountClassBase","CountClassCoupled","CountClassDerived","CountDeclMethodAll","CountDeclInstanceMethod","CountDeclInstanceVariable","CountDeclMethod"
"Public Class","Start",0,1,1,0,0,2,0,0,2
"Public Abstract Class","cpw.mods.fml.client.CustomModLoadingErrorDisplayException",0,2,2,0,0,2,2,0,2
"Public Class","cpw.mods.fml.client.FMLClientHandler",86,1,2,28,0,24,23,8,24
"Public Class","cpw.mods.fml.client.FMLTextureFX",83,2,2,1,2,7,7,6,7
"Public Class","cpw.mods.fml.client.GuiCustomModLoadingErrorScreen",0,2,1,1,0,3,3,1,3
"Public Class","cpw.mods.fml.client.GuiModList",75,2,1,7,0,9,9,6,9
"Public Class","cpw.mods.fml.client.GuiModsMissing",33,2,1,2,0,3,3,1,3
"Public Class","cpw.mods.fml.client.GuiModsMissingForServer",50,2,1,3,0,4,4,1,4
"Public Abstract Class","cpw.mods.fml.client.GuiScrollingList",86,1,1,0,1,18,18,20,18
"Public Class","cpw.mods.fml.client.GuiSlotModList",42,2,1,5,0,25,7,2,7
"Public Class","cpw.mods.fml.client.GuiWrongMinecraft",33,2,1,4,0,3,3,1,3
"Class","cpw.mods.fml.client.OverrideInfo",66,1,1,0,0,2,2,6,2
"Public Class","cpw.mods.fml.client.SpriteHelper",33,1,1,2,0,6,0,0,6
"Public Class","cpw.mods.fml.client.TextureFXManager",88,1,1,9,0,18,17,8,18
"Private Class","cpw.mods.fml.client.TextureFXManager.TextureProperties",0,1,1,0,0,0,0,2,0
"Public Class","cpw.mods.fml.client.modloader.ModLoaderBlockRendererHandler",53,1,2,1,0,5,5,3,5
"Public Class","cpw.mods.fml.client.modloader.ModLoaderClientHelper",73,1,2,12,0,10,7,2,10
"Class","cpw.mods.fml.client.modloader.ModLoaderClientHelper.ModLoaderClientHelper.(Anon_1)",0,1,2,1,0,1,1,0,1
"Public Class","cpw.mods.fml.client.modloader.ModLoaderKeyBindingHandler",67,2,1,3,0,17,8,5,8
"Public Class","cpw.mods.fml.client.registry.ClientRegistry",0,1,1,1,0,2,0,0,2
"Public Class","cpw.mods.fml.client.registry.KeyBindingRegistry",50,1,1,3,0,3,1,1,3
"Public Static Abstract Class","cpw.mods.fml.client.registry.KeyBindingRegistry.KeyHandler",75,1,2,0,1,9,9,4,9
"Public Class","cpw.mods.fml.client.registry.RenderingRegistry",82,1,1,4,0,13,4,3,13
"Private Static Class","cpw.mods.fml.client.registry.RenderingRegistry.EntityRendererInfo",0,1,1,0,0,1,1,2,1
"Public Class","cpw.mods.fml.common.DummyModContainer",83,1,2,8,3,21,21,2,21
"Public Class","cpw.mods.fml.common.FMLCommonHandler",92,1,1,16,0,40,39,8,40
"Public Class","cpw.mods.fml.common.FMLDummyContainer",0,2,2,4,0,25,4,0,4
"Public Class","cpw.mods.fml.common.FMLLog",66,1,1,1,0,9,0,0,9
"Public Class","cpw.mods.fml.common.FMLModContainer",91,1,2,34,0,26,26,16,26
"Class","cpw.mods.fml.common.FMLModContainer.processFieldAnnotations.(Anon_1)",0,1,2,1,0,1,1,0,1
